Folder Name,Solved Times,Iterations
schur_lower_bjacobi_jacobi,"0.18137907981872559, 0.44817209243774414, 2.7284023761749268","86, 248, 806"
schur_lower_bjacobi_none,"0.30733585357666016, 0.7945647239685059","243, 629"
schur_lower_cholesky_jacobi,"0.13028192520141602, 0.5440378189086914, 7.0474042892456055, 98.44951963424683","50, 96, 314, 746"
schur_lower_cholesky_none,"0.2629213333129883, 0.9541928768157959, 13.923027276992798","140, 264, 848"
schur_lower_eisenstat_jacobi,"0.17028450965881348, 0.49944114685058594","129, 388"
schur_lower_eisenstat_none,"0.18542885780334473, 0.6757879257202148","208, 529"
schur_lower_gamg_jacobi,"0.29332637786865234, 0.5527889728546143, 2.9827685356140137, 22.07454204559326","57, 111, 201, 470"
schur_lower_gamg_none,"0.418442964553833, 1.2433428764343262, 6.654635667800903","142, 273, 642"
schur_lower_hypre_jacobi,"0.19454741477966309, 0.4554145336151123, 3.3792967796325684","97, 211, 482"
schur_lower_hypre_none,"0.2935140132904053, 0.9395475387573242, 7.627463102340698","141, 265, 616"
schur_lower_icc_jacobi,"0.1582784652709961, 0.40578603744506836, 3.0400400161743164","89, 229, 794"
schur_lower_icc_none,"0.2312765121459961, 1.0164756774902344","248, 634"
schur_lower_ilu_jacobi,"0.14914250373840332, 0.40351295471191406, 2.7229127883911133","86, 248, 806"
schur_lower_ilu_none,"0.26043009757995605, 0.7838375568389893","243, 629"
schur_lower_ksp_jacobi,"0.3287160396575928, 3.332883358001709","58, 137"
schur_lower_ksp_none,0.8298532962799072,201
schur_lower_sor_jacobi,"0.15238690376281738, 0.5650894641876221","130, 378"
schur_lower_sor_none,"0.1636524200439453, 0.647688627243042","214, 532"
schur_upper_asm_jacobi,"0.23273468017578125, 0.47722768783569336, 2.795726776123047","91, 248, 787"
schur_upper_asm_none,"0.3065371513366699, 0.9270923137664795","241, 521"
schur_upper_bjacobi_jacobi,"0.21374988555908203, 0.46047329902648926, 2.764949083328247","91, 248, 787"
schur_upper_bjacobi_none,"0.2895510196685791, 0.7646892070770264","241, 521"
schur_upper_cholesky_jacobi,"0.1672818660736084, 0.5191159248352051, 6.540011882781982","53, 110, 338"
schur_upper_cholesky_none,"0.21968626976013184, 0.8862154483795166, 14.702470064163208","142, 246, 782"
schur_upper_eisenstat_jacobi,"0.14696097373962402, 0.573868989944458","129, 399"
schur_upper_eisenstat_none,"0.21491456031799316, 0.5925443172454834","204, 530"
schur_upper_gamg_jacobi,"0.43194031715393066, 0.926039457321167, 3.3603265285491943, 34.991660594940186","54, 123, 284, 751"
schur_upper_gamg_none,"0.41882872581481934, 1.041917324066162, 7.370871067047119","146, 287, 660"
schur_upper_hypre_jacobi,"0.18003106117248535, 0.41104555130004883, 1.7031223773956299, 19.66732144355774","46, 93, 124, 352"
schur_upper_hypre_none,"0.32123637199401855, 0.936352014541626, 7.449281215667725","179, 264, 598"
schur_upper_icc_jacobi,"0.15474295616149902, 0.4310300350189209, 3.165677070617676","88, 253, 828"
schur_upper_icc_none,"0.22963905334472656, 0.883897066116333","246, 555"
schur_upper_ilu_jacobi,"0.18280553817749023, 0.4992687702178955, 2.6482343673706055","91, 248, 787"
schur_upper_ilu_none,"0.26186680793762207, 0.7121856212615967","241, 521"
schur_upper_ksp_jacobi,0.5871880054473877,96
schur_upper_sor_jacobi,"0.1475539207458496, 0.5482699871063232","127, 378"
schur_upper_sor_none,"0.1950211524963379, 0.6955089569091797","204, 528"
symmetric_multiplicative_asm_jacobi,0.219529390335083,293
symmetric_multiplicative_asm_none,0.2001180648803711,293
symmetric_multiplicative_bjacobi_jacobi,0.2131350040435791,293
symmetric_multiplicative_bjacobi_none,0.17555665969848633,293
symmetric_multiplicative_cholesky_jacobi,"0.15823864936828613, 1.1989092826843262, 15.769765138626099","117, 224, 440"
symmetric_multiplicative_cholesky_none,"0.16962432861328125, 1.1171014308929443, 13.25057077407837","117, 224, 440"
symmetric_multiplicative_eisenstat_jacobi,"0.10422563552856445, 0.6972081661224365","164, 460"
symmetric_multiplicative_eisenstat_none,"0.11623048782348633, 0.6668353080749512","164, 460"
symmetric_multiplicative_gamg_jacobi,"0.25870203971862793, 1.0648698806762695, 10.478051662445068","134, 246, 624"
symmetric_multiplicative_gamg_none,"0.2498915195465088, 0.9826550483703613, 9.904653787612915","134, 246, 624"
symmetric_multiplicative_hypre_jacobi,"0.2495267391204834, 1.3484489917755127, 12.890930891036987","140, 257, 581"
symmetric_multiplicative_hypre_none,"0.2667374610900879, 1.4351298809051514, 12.679388046264648","140, 257, 581"
symmetric_multiplicative_icc_jacobi,0.22572970390319824,323
symmetric_multiplicative_icc_none,0.2233576774597168,323
symmetric_multiplicative_ilu_jacobi,0.1948096752166748,293
symmetric_multiplicative_ilu_none,0.1872246265411377,293
symmetric_multiplicative_sor_jacobi,"0.11533951759338379, 0.680809497833252","163, 459"
symmetric_multiplicative_sor_none,"0.11863875389099121, 0.6890127658843994","163, 459"
